WindSpeed,MinTemp,MaxTemp,Humidity,Result
12,26,35,69,5
6,26,35,68,5
13,26,32,77,4
9,24,32,82,5
8,24,31,76,4
8,26,33,73,3
6,27,36,62,4
7,29,38,65,5
8,27,34,68,5
8,26,33,68,3
6,28,36,63,4
8,26,31,77,4
8,26,33,74,3
6,28,35,66,5
7,26,37,64,4
8,28,36,73,5
8,28,33,72,3
6,29,36,71,5
7,25,33,83,5
8,24,29,82,0
4,23,35,71,5
7,25,36,65,4
4,27,38,62,5
5,28,38,60,4
5,27,36,62,4
7,27,36,65,4
6,24,38,67,5
6,27,35,73,5
6,27,34,69,5
2,27,35,73,5
2,27,37,70,5
3,27,38,67,5
6,24,35,73,5
5,27,38,75,5
5,24,34,75,5
7,24,34,69,5
3,27,35,69,5
4,28,38,66,5
7,26,35,66,5
5,27,35,67,5
7,28,34,69,5
6,27,37,67,5
2,28,38,65,5
1,29,38,63,5
2,28,39,58,4
3,29,37,60,3
5,28,36,67,5
3,28,36,68,5
2,28,35,67,5
5,26,36,51,3
7,25,35,59,3
7,26,36,63,4
11,26,32,74,4
8,25,33,69,3
5,26,35,64,4
4,25,34,64,4
4,25,34,63,4
2,25,34,64,4
3,26,34,64,4
3,25,33,64,3
5,26,32,72,3
10,22,31,79,4
7,21,28,82,0
5,21,30,73,3
7,23,30,67,3
5,22,32,61,3
8,20,34,70,5
9,20,28,78,0
6,20,31,66,3
8,22,30,68,3
8,22,32,59,2
6,21,34,55,3
3,22,33,54,1
2,20,33,57,2
2,22,33,55,1
2,22,32,58,2
3,22,34,59,3
2,22,34,55,3
3,22,33,58,2
2,21,32,61,3
5,22,31,67,3
15,18,29,65,0
9,17,30,58,2
8,19,30,60,2
6,19,31,59,2
8,19,31,56,2
5,18,31,55,2
2,19,31,60,2
3,19,31,64,3
2,18,31,61,3
5,20,31,54,1
3,18,31,65,3
2,18,31,66,3
2,18,31,62,3
2,18,31,56,2
3,19,26,65,0
2,17,27,64,0
3,19,27,69,0
3,17,27,58,0
3,17,30,53,1
9,17,29,55,0
11,15,24,74,0
5,13,24,70,0
2,14,27,59,0
1,12,26,57,0
1,13,26,57,0
1,12,25,59,0
2,14,25,67,0
2,15,23,71,0
1,12,26,65,0
3,16,25,70,0
5,13,26,62,0
3,14,26,61,0
1,13,25,63,0
1,12,24,61,0
1,12,22,77,0
3,12,22,73,0
4,15,24,62,0
2,14,25,56,0
1,13,24,57,0
3,12,22,63,0
3,13,22,70,0
3,14,21,78,0
2,13,22,67,0
1,12,23,61,0
1,10,23,62,0
2,9,23,57,0
1,8,23,54,0
0,8,23,61,0
0,8,21,65,0
1,9,22,67,0
0,6,24,61,0
0,7,22,69,0
0,8,20,68,0
0,7,19,69,0
0,7,19,71,0
4,10,15,84,0
3,11,14,88,0
1,10,15,80,0
3,8,16,79,0
4,6,15,82,0
1,6,15,87,0
1,6,14,86,0
1,6,12,83,0
0,6,12,85,0
2,7,16,93,0
1,6,15,84,0
2,7,12,88,0
3,6,12,79,0
2,6,10,86,0
3,6,17,75,0
2,4,18,82,0
4,5,19,71,0
2,5,19,71,0
7,8,15,81,0
4,6,17,75,0
4,4,17,72,0
4,6,19,65,0
5,6,21,63,0
2,6,22,55,0
2,9,19,67,0
4,8,17,72,0
7,7,19,65,0
8,5,19,61,0
2,5,21,53,0
3,6,17,68,0
3,2,19,67,0
2,18,32,52,1
3,19,33,55,1
7,19,32,59,2
7,17,29,52,0
8,17,34,44,3
4,18,34,34,3
4,20,34,36,3
2,20,35,51,3
3,21,36,50,3
4,22,35,46,3
5,21,35,39,3
7,22,32,41,1
4,21,34,50,3
7,20,35,48,3
5,20,35,43,3
7,23,34,44,3
4,30,46,29,4
4,31,46,24,4
6,30,46,28,4
10,29,43,33,4
10,27,41,40,4
8,28,44,34,4
10,28,42,26,4
6,26,43,28,4
6,28,43,30,4
4,29,44,28,4
5,30,46,26,4
11,31,44,26,4
15,24,38,43,4
5,26,41,40,4
6,28,43,28,4
2,27,35,73,5
2,27,37,70,5
3,27,38,67,5
6,24,35,73,5
5,27,38,75,5
5,24,34,75,5
7,24,34,69,5
3,27,35,69,5
4,28,38,66,5
7,26,35,66,5
5,27,35,67,5
7,28,34,69,5
6,27,37,67,5
2,28,38,65,5
1,10,15,80,0
3,8,16,79,0
4,6,15,82,0
1,6,15,87,0
1,6,14,86,0
1,6,12,83,0
0,6,12,85,0
2,7,16,93,0
1,6,15,84,0
2,7,12,88,0
3,6,12,79,0
2,6,10,86,0
